SMILES,TARGET_CLASS,ACTIVITY,SMILES_no_chiral
C=C1C3CCC2OC1OCC23,not known,I,C=C1C2OCC3C(CCC13)O2
O=C1C=CC(=O)C3C1Oc4c2C=CCOc2ccc34,not known,-,Oc1ccc(O)c2c1oc1c3c(ccc12)OCC=C3
O=C2NC1CCCCCN1C(=O)N2,not known,-,O=C1NC(=O)N2CCCCCC2N1
O=C3C1CCNC1=Nc4cc2ccccc2cc34,not known,-,O=c1c2c([nH]c3cc4ccccc4cc13)NCC2
O=C2OCC1Cc3c(CN12)[nH]c4ccccc34,not known,I,O=C1OCC2Cc3c([nH]c4ccccc34)CN12
C1CNCCNC1,multiple targets,-,C1CNCCNC1
O=C3OCc4cc2[nH]c1ccccc1c2cc34,not known,-,O=C1OCc2cc3[nH]c4ccccc4c3cc21
c4ccc3nc2sc1ncccc1oc2nc3c4,not known,-,c1cnc2c(c1)Oc1nc3ccccc3nc1S2
O=C2c1ccccc1OC24CCC3=NC=CCC3=C4,not known,I,O=C1c2ccccc2OC12C=C1CC=CN=C1CC2
C1Oc4cccc3COc2cccc1c2c34,not known,-,c1cc2c3c(c1)OCc1cccc(c1-3)OC2
c1ccc3c(c1)sc2ccccc2c4scnc34,gpcr,-,c1ccc2c(c1)Sc1ccccc1-c1scnc1-2
c1ccc3c(c1)ccc2ncsc23,multiple targets,-,c1ccc2c(c1)ccc1ncsc12
O=c2n4Cc1ssc(=S)c1c3cccc(c2=O)c34,not known,-,O=C1C(=O)N2Cc3ssc(=S)c3-c3cccc1c32
N=C2CCc1ccccc1N2,not known,I,N=C1CCc2ccccc2N1
c2cc3n[nH]c4c1ccncc1sc(c2)c34,not known,-,c1cc2c3c([nH]nc3c1)-c1ccncc1S2
O=C1CCOc2n[nH]cc12,not known,-,O=C1CCOc2[nH]ncc21
N=c1[nH]oc2ccccc12,not known,I,N=c1[nH]oc2ccccc12
O=C3Cc2ccc1CCCCc1c2CO3,not known,-,O=C1Cc2ccc3c(c2CO1)CCCC3
C3CC24CC1CC1CC2(C3)C4,not known,-,C1CC23CC4CC4CC2(C1)C3
N=C3C2OCC1CCC(O1)N2C(=O)NC3=O,not known,-,Nc1c2n(c(=O)[nH]c1=O)C1CCC(CO2)O1
O=C2CC1(CCCCCC1)N=CN2,not known,I,O=C1CC2(CCCCCC2)N=CN1
C1ON=CC=N1,not known,-,C1=NCON=C1
C2Sc1ccccc1n3nncc23,gpcr,-,c1ccc2c(c1)SCc1cnnn1-2
c3cc2c(ccc1[nH]ncn12)n3,epigenetic target,-,c1cc2c(ccc3nncn32)[nH]1
O=c1ccnc2scnn12,other target,A,O=c1ccnc2scnn12
O=C2Nc1ccccc1C23CC=NC3,not known,-,O=C1Nc2ccccc2C12CC=NC2
O=c2ccc1CSCc1[nH]2,other enzyme,-,O=c1ccc2c([nH]1)CSC2
N3C1C=CC=C2C=CN=C(C12)c4ccccc34,not known,-,C1=Cc2ccnc3c2C(C1)Nc1ccccc1-3
C=C2CCC1(CCCC1)C=C2,not known,-,C=C1C=CC2(CCCC2)CC1
O=n2ccc1ccoc1c2,other enzyme,-,[O-][n+]1ccc2ccoc2c1
C1C=C[n+]2c1ccsc3ccccc23,not known,-,C1=CC2=CCC=[N+]2c2ccccc2S1
O=C1OCOC(=O)C12CCS(=O)(=O)CC2,not known,-,O=C1OCOC(=O)C12CCS(=O)(=O)CC2
O=C1CCC2C(C1)C=CCC3C2C=CC3=O,not known,-,O=C1CCC2=C3CCC(=O)C3CC=CC2C1
N=C1C=CC2COC1O2,not known,-,N=C1C=CC2COC1O2
O=c1cc2CCOc3cccc(o1)c23,not known,-,O=c1cc2c3c(cccc3o1)OCC2
O=C2CC1CSC=CN12,not known,I,O=C1CC2CSC=CN12
O=C2CCCc3oc1CCC=Cc1c23,not known,-,O=C1CCCc2oc3c(c21)C=CCC3
O=c2nc[nH]c1SCCCc12,not known,-,O=c1[nH]cnc2c1CCCS2
N=c2[nH]c1ccccc1c3[nH][nH]c(=O)c23,not known,-,N=c1[nH]c2ccccc2c2[nH][nH]c(=O)c12
C=C1CCCC3C1CC=C4C2=CCCC2CC=C34,not known,-,C=C1CCCC2C3=CCC4CCC=C4C3=CCC12
O=c2n4c1ccccc1CCc3cccc(c2=O)c34,not known,-,O=C1C(=O)N2c3ccccc3CCc3cccc1c32
O=P1CN=CO1,not known,-,O=[PH]1CN=CO1
O=c3n1CCCSc1nc4sc2CCCCc2c34,multiple targets,-,O=c1c2c3c(sc2nc2n1CCCS2)CCCC3
O=C1CCCc2c1[nH]c4c2ccc3nccnc34,not known,-,O=C1CCCc2c1[nH]c1c2ccc2nccnc21
C2Cc1cccnc1O2,ion channel,A,c1cnc2c(c1)CCO2
O=C2CC1(CCCCC1)C2,not known,-,O=C1CC2(CCCCC2)C1
C=C2NCc1ccccc1C=C2,gpcr,-,CC1=NCc2ccccc2C=C1
N=c2cccc3[nH]c(=O)c1ccsc1n23,not known,I,N=c1cccc2[nH]c(=O)c3ccsc3n12
O=c3[nH]c(=O)n2C1CCNCC1=CCn23,not known,-,O=c1[nH]c(=O)n2n1CC=C1CNCCC12
N=C2SCC1CCCN12,other enzyme,-,N=C1SCC2CCCN12
c3ncc2cc1cncnc1cc2n3,not known,-,c1ncc2cc3cncnc3cc2n1
C1CCC2C(C1)CCC3=COCC23,not known,-,C1=C2CCC3CCCCC3C2CO1
O=C1CSCC(=O)C1,not known,-,O=C1CSCC(=O)C1
O=C1CCC2CC1C=C2,multiple targets,-,O=C1CCC2C=CC1C2
